OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,GID,TOTAL_AC,LAND_AC,TCAN_AC,TCAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,PLOT_AC,PLOT_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_V_AC,UN_V_PCT,TO_UN_AC,TO_UN_PCT,UN_IA_AC,UN_IA_PCT,UN_SL_AC,UN_SL_PCT,WTR_AC,WTR_PCT,UTC_AC_06,UTC_PCT_06,UTCAC0620,UTCPCT0620,UTC_AC_11,UTC_PCT_11,UTCAC1120,UTCPCT1120,UTC_AC_15,UTC_PCT_15,UTCAC1520,UTCPCT1520,GIS_ID,GLOBALID,SHAPEAREA,SHAPELEN
1,11,001,001600,4000,110010016004000,Block 4000,G5040,S,43177,0,+38.9934899,-077.0386401,4227,10.67,10.67,5.05,47.29,2.58,24.21,1.38,12.93,3.04,28.5,0.94,8.78,0,0,0.03,0.32,0.69,6.47,0,0,0,0,5.05,47.29,2.54,23.83,2.58,24.15,0.03,0.32,0.04,0.37,3.05,28.56,3.01,28.18,0,0,0,0,4.31,40.39362699,0.74,6.89637301,5.61,52.57731959,-0.56,-5.28731959,5.32,49.85941893,-0.27,-2.56941893,UTC_BlockPly_2020_4227,{93900AAC-7225-49D3-831A-D41D1132A0BD},0,0
2,11,001,001600,4004,110010016004004,Block 4004,G5040,S,71350,0,+38.9897019,-077.0434865,4359,17.63,17.41,14.23,80.7,1.72,9.75,0,0,1.46,8.28,1.3,7.39,0,0,0.06,0.36,0.09,0.53,0.22,1.26431465,0,0,14.23,81.74,1.72,9.88,1.78,10.24,0.06,0.37,0,0,1.4,8.02,1.4,8.02,0,0,0.22,1.28,14.71,84.49167145,-0.48,-2.75167145,15.67,90.00574383,-1.44,-8.26574383,14.76,84.77886272,-0.53,-3.03886272,UTC_BlockPly_2020_4359,{CDF979AE-F8E6-4B74-B6AE-66DC7E4A674A},0,0
3,11,001,001600,4001,110010016004001,Block 4001,G5040,S,39692,0,+38.9935739,-077.0397146,3545,9.81,9.81,3.57,36.37,3.11,31.74,1.68,17.1,3.13,31.89,0.86,8.75,0,0,0,0,0.59,6.03,0,0,0,0,3.57,36.37,3.1,31.64,3.1,31.64,0,0,0.01,0.1,3.14,31.99,3.13,31.89,0,0,0,0,2.82,28.74617737,0.75,7.62382263,4.34,44.24057085,-0.77,-7.87057085,3.43,34.96432212,0.14,1.40567788,UTC_BlockPly_2020_3545,{DBF7BACC-1E6B-4EF6-9B1D-B687839A71D3},0,0
4,11,001,001600,4003,110010016004003,Block 4003,G5040,S,25941,0,+38.9934215,-077.0422665,508,6.41,6.41,2.49,38.8,2.13,33.27,0.76,11.89,1.79,27.93,0.73,11.45,0,0,0,0,0.29,4.6,0,0,0,0,2.49,38.8,2.12,33.15,2.12,33.15,0,0,0.01,0.12,1.8,28.06,1.79,27.93,0,0,0,0,1.57,24.49297972,0.92,14.30702028,2.45,38.22152886,0.04,0.57847114,2.33,36.34945398,0.16,2.45054602,UTC_BlockPly_2020_508,{25AC2541-A6DA-44B9-9D24-C180B596D5A4},0,0
5,11,001,001600,4002,110010016004002,Block 4002,G5040,S,19317,0,+38.9929011,-077.0403407,78,4.77,4.77,1.17,24.42,1.79,37.54,0.81,16.93,1.82,38.04,0.68,14.31,0,0,0,0,0.32,6.79,0,0,0,0,1.17,24.42,1.79,37.49,1.79,37.49,0,0,0,0.05,1.82,38.09,1.82,38.04,0,0,0,0,0.77,16.14255765,0.4,8.27744235,1.55,32.49475891,-0.38,-8.07475891,1.03,21.5932914,0.14,2.8267086,UTC_BlockPly_2020_78,{66EDF9C5-B0A2-4300-9A84-FEF3D6DF01F8},0,0
6,11,001,001600,4035,110010016004035,Block 4035,G5040,S,27162,0,+38.9919130,-077.0419715,3737,6.72,6.72,2.59,38.52,1.87,27.88,1.07,15.9,2.26,33.59,0.82,12.26,0,0,0,0,0.36,5.43,0,0,0,0,2.59,38.52,1.87,27.88,1.87,27.88,0,0,0,0,2.26,33.6,2.26,33.59,0,0,0,0,1.96,29.16666667,0.63,9.35333333,2.71,40.32738095,-0.12,-1.80738095,2.24,33.33333333,0.35,5.18666667,UTC_BlockPly_2020_3737,{74885C01-7FD0-4F8A-8CF0-E3AE2FF47F42},0,0
7,11,001,001600,4005,110010016004005,Block 4005,G5040,S,27735,0,+38.9914879,-077.0432701,4307,6.85,6.85,3.3,48.2,1.76,25.72,0.8,11.7,1.79,26.08,0.72,10.49,0,0,0,0,0.27,3.89,0,0,0,0,3.3,48.2,1.76,25.72,1.76,25.72,0,0,0,0,1.79,26.08,1.79,26.08,0,0,0,0,2.05,29.9270073,1.25,18.2729927,3.21,46.86131387,0.09,1.33868613,2.93,42.77372263,0.37,5.42627737,UTC_BlockPly_2020_4307,{5CB7FFDF-7D09-4048-8002-6D2700391A8B},0,0
8,11,001,001600,4036,110010016004036,Block 4036,G5040,S,45146,0,+38.9906296,-077.0417129,4704,11.15,11.15,5.58,50.06,2.43,21.78,1.61,14.43,3.14,28.16,0.94,8.39,0,0,0.02,0.21,0.57,5.12,0,0,0,0,5.58,50.06,2.42,21.69,2.44,21.92,0.03,0.23,0.01,0.07,3.12,28.02,3.12,27.94,0,0,0,0,5.25,47.08520179,0.33,2.97479821,6.11,54.79820628,-0.53,-4.73820628,5.35,47.98206278,0.23,2.07793722,UTC_BlockPly_2020_4704,{6AF9C976-2DD3-4BD5-85DC-839A569D3F5E},0,0
9,11,001,001600,4011,110010016004011,Block 4011,G5040,S,20651,0,+38.9915886,-077.0388795,3225,5.1,5.1,2.04,39.95,1.49,29.2,0.74,14.56,1.57,30.85,0.56,11.06,0,0,0,0,0.27,5.22,0,0,0,0,2.04,39.95,1.49,29.2,1.49,29.2,0,0,0,0,1.57,30.85,1.57,30.85,0,0,0,0,1.63,31.96078431,0.41,7.98921569,2.1,41.17647059,-0.06,-1.22647059,2.01,39.41176471,0.03,0.53823529,UTC_BlockPly_2020_3225,{313043D8-DAD2-41DE-BC64-0A7DBE04FE43},0,0
10,11,001,001600,4006,110010016004006,Block 4006,G5040,S,20202,0,+38.9913139,-077.0454545,5995,4.99,4.99,2.12,42.57,1.36,27.3,0.6,12.12,1.5,30.13,0.75,15.11,0,0,0,0,0.14,2.9,0,0,0,0,2.12,42.57,1.36,27.3,1.36,27.3,0,0,0,0,1.5,30.13,1.5,30.13,0,0,0,0,1.5,30.06012024,0.62,12.50987976,1.76,35.27054108,0.36,7.29945892,2.04,40.88176353,0.08,1.68823647,UTC_BlockPly_2020_5995,{01CB10EA-561B-41C5-B3DD-D7F90EEFE339},0,0
